TimeStamp,SpotPrice,InstanceType,OS type,AvailabilityZone
2014-03-29 12:45:52,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-30 12:47:41,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-31 12:48:13,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-03-31 19:21:09,4.464,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-01 19:22:24,4.464,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-02 19:24:33,4.464,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 00:17:56,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 20:44:49,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 21:15:14,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 21:20:49,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:01:09,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:09:48,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:15:36,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:18:29,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:44:40,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-03 22:50:30,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-04 22:50:58,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-05 22:54:10,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-06 22:56:09,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-07 22:57:11,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 14:36:13,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 14:49:15,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 16:11:28,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 16:14:46,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 16:41:26,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 16:48:04,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 18:59:55,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 19:03:21,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 19:06:45,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:18:40,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:22:05,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:32:23,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:35:50,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:39:18,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 20:42:45,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 21:03:32,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 21:06:58,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-08 21:13:51,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-09 21:15:34,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 06:46:47,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 06:56:43,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 10:30:23,4.0,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 10:33:44,0.2031,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 21:40:55,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 21:47:26,0.132,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 21:54:01,0.1317,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 21:57:19,0.1315,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:00:37,0.132,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:03:58,0.1328,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:07:13,0.132,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:10:28,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:13:45,0.1324,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:17:01,0.1333,c3.4xlarge,Linux/UNIX,us-west-1a
2014-04-10 22:20:18,0.1345,c3.4xlarge,Linux/UNIX,us-west-1a
