,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
549,ap-northeast-2,d2.4xlarge,3.376,1.772,2.115,1.808,1.594,1.904,1.627,1.211,1.288
550,ap-southeast-2,d2.4xlarge,3.48,1.719,2.052,1.754,1.547,1.847,1.578,1.174,1.249
551,us-east-1,d2.8xlarge,5.52,2.696,3.216,2.751,2.426,2.894,2.476,1.581,1.682
552,us-west-2,d2.8xlarge,5.52,2.696,3.216,2.751,2.426,2.894,2.476,1.581,1.682
553,us-west-1,d2.8xlarge,6.25,3.293,3.931,3.360,2.964,3.538,3.024,2.021,2.150
554,eu-west-1,d2.8xlarge,5.88,2.994,3.576,3.055,2.694,3.218,2.749,2.044,2.174
555,eu-central-1,d2.8xlarge,6.352,3.232,3.856,3.297,2.909,3.470,2.968,2.208,2.349
556,ap-southeast-1,d2.8xlarge,6.96,3.437,4.104,3.507,3.094,3.694,3.157,2.348,2.498
557,ap-northeast-1,d2.8xlarge,6.752,3.543,4.232,3.615,3.189,3.809,3.254,2.421,2.576
558,ap-northeast-2,d2.8xlarge,6.752,3.543,4.230,3.615,3.189,3.807,3.254,2.421,2.576
559,ap-southeast-2,d2.8xlarge,6.96,3.437,4.104,3.507,3.094,3.694,3.157,2.348,2.498
