,AvailabilityZone,InstanceType,Max,Mean,Median,Min,STD,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
28,us-east-1c,m4.16xlarge,27.513333333333335,1.1569320009107837,0.9022411764705881,0.5123148148148149,1.5633827836245435,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
29,us-east-1d,m4.16xlarge,4.41755,1.020552732096127,0.8620454545454543,0.4815279999999999,0.5830868766968145,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
30,us-west-1b,m4.16xlarge,4.5123999999999995,1.2102455730538269,0.6670666666666666,0.5052857142857143,0.9004612760407635,4.022,2.735,3.265,2.7910000000000004,2.4619999999999997,2.9389999999999996,2.512,1.7480000000000002,1.86
31,us-west-1c,m4.16xlarge,4.486166666666667,1.2199084758071979,0.68224375,0.52142,0.9655458858533387,4.022,2.735,3.265,2.7910000000000004,2.4619999999999997,2.9389999999999996,2.512,1.7480000000000002,1.86
32,us-west-2a,m4.16xlarge,78.62,1.5289146091799226,0.8964808,0.453975,3.883804238381293,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
33,us-west-2b,m4.16xlarge,9.456063636363638,0.9974120719819143,0.8974975000000001,0.44548000000000004,0.5138948600471442,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
34,us-west-2c,m4.16xlarge,4.415,0.7138098586910179,0.5963999999999997,0.4478839999999999,0.3811160663158187,3.447,1.984,2.369,2.025,1.786,2.1319999999999997,1.8230000000000002,1.286,1.368
35,ap-northeast-1a,c3.8xlarge,1.0140151898734178,0.6883684813326651,0.7031905109489052,0.3738625,0.16206821212266104,2.043,1.374,1.5519999999999998,1.402,1.236,1.3969999999999998,1.261,0.9259999999999999,0.985
36,ap-northeast-1c,c3.8xlarge,1.5681327586206892,0.9064278786866947,0.8779676258992808,0.7651011235955057,0.0995731996728257,2.043,1.374,1.5519999999999998,1.402,1.236,1.3969999999999998,1.261,0.9259999999999999,0.985
37,ap-southeast-1a,c3.8xlarge,2.003428571428571,0.8758141053679321,0.834245714285714,0.5308860000000002,0.16944546576973984,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.9540000000000001
38,ap-southeast-1b,c3.8xlarge,1.9475816513761466,0.8780944215472105,0.8413420000000009,0.49128043478260863,0.20579432221094332,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.9540000000000001
39,ap-southeast-2a,c3.8xlarge,5.156749999999998,0.8015814950948468,0.8255956989247311,0.37276000000000004,0.17711634029354986,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.9540000000000001
40,ap-southeast-2b,c3.8xlarge,1.777713114754099,0.8894844248768549,0.8749578947368422,0.7192844444444446,0.07079681879826939,2.117,1.331,1.568,1.358,1.198,1.411,1.222,0.897,0.9540000000000001
